geometry,method,runs,locmin_runs,median_final_objective,median_objective_change,median_final_residual,median_relative_lambda_min,median_distance_to_saddle,median_verification_calls,median_corrections,median_log10_theoretical_correction_bound
quartic,4V-FB,6,6,3.83751296276627,-0.034041022371949836,3.1725583622659994e-12,0.5776685733117266,1.352487749778311,6.0,1.0,17.60090850741968
quartic,FB,6,0,3.8707087486157254,0.0,0.0,-1.0408340855860845e-16,6.407765299956711e-16,0.0,0.0,
strict,4V-FB,6,6,3.828538476460133,-0.04609955964806356,3.567356936167399e-12,0.55019441937696,1.428069641118275,6.0,1.0,17.60090850741968
strict,FB,6,0,3.8707087486157254,0.0,0.0,-0.06250000000000007,6.407765299956711e-16,0.0,0.0,
