run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,seed,iteration_cap,timing_repeats,runtime_algorithm_min,runtime_algorithm_max,runtime_algorithm_q25,runtime_algorithm_q75
ordinary_n50_p0.3_seed1101,random_gaussian_n50_m40_p0.3_seed1101,FB,converged,40,50,0.3,0.05,20.05402766656608,2024,2.0757952064858163,9.830519191276212e-12,26,26,0.044869644102013204,0.0,0.0560766177799537,0.01876560680940154,True,0.1589942069999779,0.1588053469999977,0.0001917700000149125,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.23712230871271595,,,,,ordinary,1101,10000,3,0.15042374800009384,0.17897700299999997,0.15461454750004577,0.16889117499999884
ordinary_n50_p0.3_seed1101,random_gaussian_n50_m40_p0.3_seed1101,4V-FB,converged,40,50,0.3,0.05,20.05402766656608,2024,2.0757952064858163,9.830519191276212e-12,26,26,0.044869644102013204,0.0,0.0560766177799537,0.01876560680940154,True,0.17477143500002512,0.17458094500000243,0.00019049000002269167,11,10,1,0,686,26.0,26.0,0.0008625999998912448,0.00012343999992481258,0.0012504189999162918,0.007154595943645551,0.23712230871271595,7.54238759253568e-36,1.5713307484449333e-37,0.044869644102013204,43.4981235015154,ordinary,1101,10000,3,0.15793148700004167,0.7760276159999648,0.16625621600002205,0.47530428049998363
ordinary_n50_p0.3_seed1102,random_gaussian_n50_m40_p0.3_seed1102,FB,converged,40,50,0.3,0.05,20.785731464921756,1796,2.5591978562276787,9.746275651542161e-12,25,25,0.04459873524938568,0.0,0.06033301523658607,0.021209754006675432,True,0.10453756399999747,0.10437689399998362,0.0001373900000771755,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.23469361564080307,,,,,ordinary,1102,10000,3,0.10395276399992781,0.10442176499998368,0.10416482899995572,0.10439932949998365
ordinary_n50_p0.3_seed1102,random_gaussian_n50_m40_p0.3_seed1102,4V-FB,converged,40,50,0.3,0.05,20.785731464921756,1796,2.5591978562276787,9.746275651542161e-12,25,25,0.04459873524938568,0.0,0.06033301523658607,0.021209754006675432,True,0.11070801400012442,0.11056116400004612,0.00016364999999041174,11,10,1,0,647,25.0,25.0,0.0005663199997343327,0.00011386999995011138,0.0008657900001480812,0.00782341299446044,0.23469361564080307,4.847931957909663e-36,1.009985824564513e-37,0.04459873524938568,43.71615986197914,ordinary,1102,10000,3,0.11050288400008412,0.11150776399995266,0.11053202400006512,0.11103446399999939
ordinary_n50_p0.3_seed1103,random_gaussian_n50_m40_p0.3_seed1103,FB,converged,40,50,0.3,0.05,16.472488919048764,1228,2.92323679036431,9.75014898300322e-12,23,23,0.040948258042140855,0.0,0.08209522852671962,0.024643877193641615,True,0.09182244699991315,0.09168286699991768,0.0001395799999954761,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.20297997094055717,,,,,ordinary,1103,10000,3,0.09162199599995802,0.09216180700002496,0.09165243149993785,0.09192233699997132
ordinary_n50_p0.3_seed1103,random_gaussian_n50_m40_p0.3_seed1103,4V-FB,converged,40,50,0.3,0.05,16.472488919048764,1228,2.92323679036431,9.75014898300322e-12,23,23,0.040948258042140855,0.0,0.08209522852671962,0.024643877193641615,True,0.09685306599999421,0.09669383599998582,0.0001614500000641783,11,10,1,0,547,23.0,23.0,0.0005146100000956721,0.0001127700001006815,0.0008077399999137924,0.008339849560506847,0.20297997094055717,8.53686216970377e-35,1.7785129520216188e-36,0.040948258042140855,42.51776046618496,ordinary,1103,10000,3,0.09641061500008163,0.09691659600002822,0.09655222550003373,0.09680521600000702
ordinary_n50_p0.3_seed1104,random_gaussian_n50_m40_p0.3_seed1104,FB,converged,40,50,0.3,0.05,24.00934363652954,1697,2.026596163887179,9.847931441278809e-12,23,23,0.043255367156028776,0.0,0.06703461307602772,0.021049419897158857,True,0.12689200099998743,0.12674889100003384,0.0001435899999933099,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.2228029604871557,,,,,ordinary,1104,10000,3,0.12649789199997485,0.1281038219999573,0.12662339150000435,0.12742635649999556
ordinary_n50_p0.3_seed1104,random_gaussian_n50_m40_p0.3_seed1104,4V-FB,converged,40,50,0.3,0.05,24.00934363652954,1697,2.026596163887179,9.847931441278809e-12,23,23,0.043255367156028776,0.0,0.06703461307602772,0.021049419897158857,True,0.1333909400000266,0.13323045000004186,0.00016285000003790628,11,10,1,0,610,23.0,23.0,0.0005027799999197669,0.00011337999978877633,0.0007967000000235203,0.005972669508314143,0.2228029604871557,8.190400784866199e-37,1.7063334968471248e-38,0.043255367156028776,44.6041563602783,ordinary,1104,10000,3,0.13282137100009095,0.13398977999997896,0.1330259105000664,0.1336101150000104
ordinary_n50_p0.3_seed1105,random_gaussian_n50_m40_p0.3_seed1105,FB,converged,40,50,0.3,0.05,21.84350878870708,2413,3.3334223375631007,9.862524273409882e-12,28,28,0.04314074466631058,0.0,0.04148555148301393,0.012915335525053563,True,0.1806502229999296,0.18049968299999364,0.00015053999993597245,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.22180020135374923,,,,,ordinary,1105,10000,3,0.18030139399991185,0.18286574299997937,0.18040053849995275,0.1816827129999865
ordinary_n50_p0.3_seed1105,random_gaussian_n50_m40_p0.3_seed1105,4V-FB,converged,40,50,0.3,0.05,21.84350878870708,2413,3.3334223375631007,9.862524273409882e-12,28,28,0.04314074466631058,0.0,0.04148555148301393,0.012915335525053563,True,0.1899225119999528,0.18975843199996234,0.00016474999995352846,11,10,1,0,995,28.0,28.0,0.0005574399998522495,0.00011178000022482593,0.0008475900000348702,0.004478791599077586,0.22180020135374923,2.628365429096042e-36,5.475761310616754e-38,0.04314074466631058,44.06132734345258,ordinary,1105,10000,3,0.18908049200001642,0.1908733120000079,0.18941946199998938,0.19031587199998512
