run_key,method,iter,eligible_q,scheduled,forced_final,support_size,lambda_min,eta,chosen_sign,actual_drop,required_drop,roundoff_guard,guard_dominates_theory,accepted,eig_time,probe_time,verification_time,regime,geometry,n,p,perturbation,seed
perturbed_strict_n20_p0.5_eps1e-03_seed3101,4V-FB,193,1,True,False,19,0.1100388818674032,0.5628085996530688,-1,-0.017193607370806774,5.219715793488918e-15,2.0650115514630533e-13,True,False,8.949999983087764e-05,9.999999974752427e-06,0.0001216000000567874,perturbed_saddle,strict,20,0.5,0.001,3101
perturbed_strict_n20_p0.5_eps1e-03_seed3101,4V-FB,194,2,True,False,19,0.11003888283605326,0.5628085996530688,-1,-0.017193598299906743,5.219715793488918e-15,2.0650115514630497e-13,True,False,3.956000000471249e-05,9.019999879456009e-06,6.546000008711417e-05,perturbed_saddle,strict,20,0.5,0.001,3101
perturbed_strict_n20_p0.5_eps1e-03_seed3101,4V-FB,196,4,True,False,19,0.11003888359703666,0.5628085996530688,-1,-0.017193591173695566,5.219715793488918e-15,2.065011551463048e-13,True,False,2.949999998236308e-05,8.889999890016043e-06,5.363999980545486e-05,perturbed_saddle,strict,20,0.5,0.001,3101
perturbed_strict_n20_p0.5_eps1e-03_seed3101,4V-FB,200,8,True,False,19,0.1100388838555926,0.5628085996530688,-1,-0.017193588752453692,5.219715793488918e-15,2.065011551463048e-13,True,False,2.9170000061640167e-05,8.720000096218428e-06,5.310000005920301e-05,perturbed_saddle,strict,20,0.5,0.001,3101
perturbed_strict_n20_p0.5_eps1e-03_seed3101,4V-FB,207,15,False,True,19,0.11003888387539482,0.5628085996530688,-1,-0.01719358856701625,5.219715793488918e-15,2.065011551463048e-13,True,False,2.9560000029960065e-05,8.87999999577005e-06,5.329999999048596e-05,perturbed_saddle,strict,20,0.5,0.001,3101
perturbed_strict_n20_p0.5_eps1e-03_seed3102,4V-FB,165,1,True,False,19,0.11003888184622596,0.5628085996530688,-1,-0.017193607569120584,5.2197158305308256e-15,2.0650115514630533e-13,True,False,5.854999994880927e-05,1.0369999927206663e-05,9.728999998515064e-05,perturbed_saddle,strict,20,0.5,0.001,3102
perturbed_strict_n20_p0.5_eps1e-03_seed3102,4V-FB,166,2,True,False,19,0.11003888282509086,0.5628085996530688,-1,-0.01719359840256418,5.2197158305308256e-15,2.0650115514630492e-13,True,False,3.545000004123722e-05,8.959999831859022e-06,6.108999991738528e-05,perturbed_saddle,strict,20,0.5,0.001,3102
perturbed_strict_n20_p0.5_eps1e-03_seed3102,4V-FB,168,4,True,False,19,0.11003888359409915,0.5628085996530688,-1,-0.01719359120120334,5.2197158305308256e-15,2.0650115514630482e-13,True,False,2.779999999802385e-05,8.790000038061407e-06,5.1649999932124047e-05,perturbed_saddle,strict,20,0.5,0.001,3102
perturbed_strict_n20_p0.5_eps1e-03_seed3102,4V-FB,172,8,True,False,19,0.11003888385538167,0.5628085996530688,-1,-0.017193588754428557,5.2197158305308256e-15,2.065011551463048e-13,True,False,2.5699999923745054e-05,8.7999999323074e-06,4.977999992661353e-05,perturbed_saddle,strict,20,0.5,0.001,3102
perturbed_strict_n20_p0.5_eps1e-03_seed3102,4V-FB,179,15,False,True,19,0.1100388838753927,0.5628085996530688,-1,-0.017193588567036233,5.2197158305308256e-15,2.065011551463048e-13,True,False,2.706999998736137e-05,8.620000016890117e-06,5.07899999320216e-05,perturbed_saddle,strict,20,0.5,0.001,3102
perturbed_strict_n20_p0.5_eps1e-03_seed3103,4V-FB,148,1,True,False,19,0.11003888189551933,0.5628085996530688,-1,-0.01719360710751383,5.219716077649808e-15,2.0650115514630533e-13,True,False,5.556000019169005e-05,1.0040000006483751e-05,8.593000006840157e-05,perturbed_saddle,strict,20,0.5,0.001,3103
perturbed_strict_n20_p0.5_eps1e-03_seed3103,4V-FB,149,2,True,False,19,0.11003888285060759,0.5628085996530688,-1,-0.0171935981636131,5.219716077649808e-15,2.0650115514630492e-13,True,False,3.4259999893038184e-05,8.909999905881705e-06,5.921000001762877e-05,perturbed_saddle,strict,20,0.5,0.001,3103
perturbed_strict_n20_p0.5_eps1e-03_seed3103,4V-FB,151,4,True,False,19,0.11003888360093665,0.5628085996530688,-1,-0.01719359113717367,5.219716077649808e-15,2.065011551463048e-13,True,False,2.8479999855335336e-05,8.590000106778461e-06,5.236000015429454e-05,perturbed_saddle,strict,20,0.5,0.001,3103
perturbed_strict_n20_p0.5_eps1e-03_seed3103,4V-FB,155,8,True,False,19,0.11003888385587263,0.5628085996530688,-1,-0.017193588749831346,5.219716077649808e-15,2.065011551463048e-13,True,False,2.7349999982106965e-05,8.579999985158793e-06,5.071999999017862e-05,perturbed_saddle,strict,20,0.5,0.001,3103
perturbed_strict_n20_p0.5_eps1e-03_seed3103,4V-FB,162,15,False,True,19,0.11003888387539759,0.5628085996530688,-1,-0.017193588566990492,5.219716077649808e-15,2.065011551463048e-13,True,False,2.6610000077198492e-05,8.660000048621441e-06,5.011999996895611e-05,perturbed_saddle,strict,20,0.5,0.001,3103
perturbed_strict_n20_p0.5_eps1e-03_seed3104,4V-FB,150,1,True,False,19,0.1100388818595589,0.5628085996530688,-1,-0.017193607444264902,5.219716010653293e-15,2.0650115514630533e-13,True,False,5.3179999895291985e-05,9.88000010693213e-06,8.282999988296069e-05,perturbed_saddle,strict,20,0.5,0.001,3104
perturbed_strict_n20_p0.5_eps1e-03_seed3104,4V-FB,151,2,True,False,19,0.11003888283199267,0.5628085996530688,-1,-0.01719359833793277,5.219716010653293e-15,2.0650115514630492e-13,True,False,3.390999995644961e-05,9.239999826604617e-06,5.93600000229344e-05,perturbed_saddle,strict,20,0.5,0.001,3104
perturbed_strict_n20_p0.5_eps1e-03_seed3104,4V-FB,153,4,True,False,19,0.11003888359594857,0.5628085996530688,-1,-0.01719359118388475,5.219716010653293e-15,2.065011551463048e-13,True,False,2.807000009852345e-05,8.429999979853164e-06,5.1719999873967026e-05,perturbed_saddle,strict,20,0.5,0.001,3104
perturbed_strict_n20_p0.5_eps1e-03_seed3104,4V-FB,157,8,True,False,19,0.11003888385551447,0.5628085996530688,-1,-0.017193588753184663,5.219716010653293e-15,2.0650115514630482e-13,True,False,2.725000013015233e-05,8.669999942867435e-06,5.102000000078988e-05,perturbed_saddle,strict,20,0.5,0.001,3104
perturbed_strict_n20_p0.5_eps1e-03_seed3104,4V-FB,164,15,False,True,19,0.11003888387539403,0.5628085996530688,-1,-0.017193588567023355,5.219716010653293e-15,2.065011551463048e-13,True,False,2.584000003480469e-05,8.479999905830482e-06,4.883999986304843e-05,perturbed_saddle,strict,20,0.5,0.001,3104
perturbed_strict_n20_p0.5_eps1e-03_seed3105,4V-FB,4,1,True,False,20,-0.012500000015670027,0.5628085996530688,-1,0.0021938311617044626,5.219715791915458e-15,2.111111111111106e-13,True,True,6.72700000450277e-05,9.860000091066468e-06,9.772999987944786e-05,perturbed_saddle,strict,20,0.5,0.001,3105
perturbed_strict_n20_p0.5_eps1e-03_seed3105,4V-FB,27,1,True,False,19,0.11003888183882699,0.5628085996530688,-1,-0.01719360763840827,5.219715791915458e-15,2.0650115514630533e-13,True,False,3.611000011005672e-05,9.489999911238556e-06,6.31200000498211e-05,perturbed_saddle,strict,20,0.5,0.001,3105
perturbed_strict_n20_p0.5_eps1e-03_seed3105,4V-FB,28,2,True,False,19,0.11003888282126077,0.5628085996530688,-1,-0.017193598438431046,5.219715791915458e-15,2.0650115514630492e-13,True,False,2.90400000722002e-05,8.590000106778461e-06,5.308000004333735e-05,perturbed_saddle,strict,20,0.5,0.001,3105
perturbed_strict_n20_p0.5_eps1e-03_seed3105,4V-FB,30,4,True,False,19,0.11003888359307283,0.5628085996530688,-1,-0.01719359121081432,5.219715791915458e-15,2.065011551463048e-13,True,False,2.5779999987207702e-05,8.700000080352766e-06,4.925999996885366e-05,perturbed_saddle,strict,20,0.5,0.001,3105
perturbed_strict_n20_p0.5_eps1e-03_seed3105,4V-FB,34,8,True,False,19,0.11003888385530798,0.5628085996530688,-1,-0.01719358875511867,5.219715791915458e-15,2.065011551463048e-13,True,False,2.5990000040110317e-05,8.719999868844752e-06,4.9530000069353264e-05,perturbed_saddle,strict,20,0.5,0.001,3105
perturbed_strict_n20_p0.5_eps1e-03_seed3105,4V-FB,41,15,False,True,19,0.11003888387539197,0.5628085996530688,-1,-0.01719358856704245,5.219715791915458e-15,2.065011551463048e-13,True,False,2.579000010882737e-05,8.709999974598759e-06,4.910000006930204e-05,perturbed_saddle,strict,20,0.5,0.001,3105
perturbed_strict_n20_p0.5_eps1e-05_seed3101,4V-FB,3,1,True,False,20,-0.012499999996988816,0.5628085996530688,-1,0.0021938264945569053,5.219717520315601e-15,2.1111111111111108e-13,True,True,6.305000010797812e-05,9.649999810790177e-06,9.281000006922113e-05,perturbed_saddle,strict,20,0.5,1e-05,3101
perturbed_strict_n20_p0.5_eps1e-05_seed3101,4V-FB,26,1,True,False,19,0.11003888183882572,0.5628085996530688,-1,-0.017193607638419817,5.219717520315601e-15,2.0650115514630535e-13,True,False,3.698999989865115e-05,8.969999953478691e-06,6.299000006038113e-05,perturbed_saddle,strict,20,0.5,1e-05,3101
perturbed_strict_n20_p0.5_eps1e-05_seed3101,4V-FB,27,2,True,False,19,0.11003888282126012,0.5628085996530688,-1,-0.01719359843843682,5.219717520315601e-15,2.0650115514630492e-13,True,False,2.8239999892321066e-05,8.67000017024111e-06,5.1570000096035074e-05,perturbed_saddle,strict,20,0.5,1e-05,3101
perturbed_strict_n20_p0.5_eps1e-05_seed3101,4V-FB,29,4,True,False,19,0.11003888359307265,0.5628085996530688,-1,-0.017193591210816095,5.219717520315601e-15,2.065011551463048e-13,True,False,2.531999984967115e-05,8.32000000627886e-06,4.787000011674536e-05,perturbed_saddle,strict,20,0.5,1e-05,3101
perturbed_strict_n20_p0.5_eps1e-05_seed3101,4V-FB,33,8,True,False,19,0.11003888385530797,0.5628085996530688,-1,-0.017193588755119116,5.219717520315601e-15,2.065011551463048e-13,True,False,2.575999997134204e-05,8.499999921696144e-06,4.866999984187714e-05,perturbed_saddle,strict,20,0.5,1e-05,3101
perturbed_strict_n20_p0.5_eps1e-05_seed3101,4V-FB,40,15,False,True,19,0.11003888387539197,0.5628085996530688,-1,-0.01719358856704245,5.219717520315601e-15,2.065011551463048e-13,True,False,2.455000003465102e-05,8.349999916390516e-06,4.738000006909715e-05,perturbed_saddle,strict,20,0.5,1e-05,3101
perturbed_strict_n20_p0.5_eps1e-05_seed3102,4V-FB,3,1,True,False,20,-0.012499999991655708,0.5628085996530688,-1,0.0021938387928082115,5.219717520319295e-15,2.1111111111110926e-13,True,True,5.3279999974620296e-05,9.42999986364157e-06,8.238999998866348e-05,perturbed_saddle,strict,20,0.5,1e-05,3102
