run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,geometry,perturbation,seed,dirl_config,dirl_alpha,dirl_beta_factor,dirl_mu,dirl_epsilon0,initial_distance_to_saddle,distance_to_saddle,escaped_radius_0p1,F_saddle,objective_change_from_saddle
dirl_sensitivity_alpha_0p10_seed2101,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111111953012576,2800,2.1111111111111107,6.362464481662798e-13,20,20,0.2814042998265344,0.0,-4.373817030778326e-09,-2.1869085153891625e-08,False,0.03711809500009622,0.03430050500060133,0.002817589999494885,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2101,alpha_0p10,0.1,1.0,0.9,0.01,0.0010000000000000135,0.00039030722505541793,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_alpha_0p10_seed2101,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111111953012576,300,2.111111111111111,6.734585019229744e-13,20,20,0.2814042998265344,0.0,-4.53964731778056e-09,-2.2698236588902477e-08,False,0.004426989000194226,0.0039980589999686345,0.00042893000022559136,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2101,alpha_0p10,0.1,1.0,0.9,0.01,0.0010000000000000135,0.0003976374943792898,False,2.111111111111111,0.0
dirl_sensitivity_alpha_0p10_seed2102,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112109773416,2750,2.1111111111111107,2.7773038451156944e-15,20,20,0.2814042998265344,0.0,-3.7421829524042494e-11,-1.8710914762021242e-10,False,0.10491459500008204,0.03519089400356279,0.06972370099651926,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2102,alpha_0p10,0.1,1.0,0.9,0.01,0.0010000000000000406,3.610265548363363e-05,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_alpha_0p10_seed2102,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112109773416,272,2.111111111111111,2.7303170463965835e-13,20,20,0.2814042998265344,0.0,-3.884432359102519e-11,-1.9422161795510215e-10,False,0.004065649000040139,0.003636768999740525,0.00042888000029961404,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2102,alpha_0p10,0.1,1.0,0.9,0.01,0.0010000000000000406,3.678099862774355e-05,False,2.111111111111111,0.0
dirl_sensitivity_alpha_0p10_seed2103,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112089219133,2750,2.1111111111111107,3.285520010038581e-14,20,20,0.2814042998265344,0.0,-6.052467485528901e-10,-3.0262337427644495e-09,False,0.10482090499999686,0.03515389600192975,0.0696670089980671,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2103,alpha_0p10,0.1,1.0,0.9,0.01,0.0009999999999999575,0.00014519195655443814,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_alpha_0p10_seed2103,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112089219133,271,2.111111111111111,2.8516232103703827e-13,20,20,0.2814042998265344,0.0,-6.282034475946219e-10,-3.1410172379727545e-09,False,0.004055050000033589,0.0036200499996539293,0.00043500000037965947,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2103,alpha_0p10,0.1,1.0,0.9,0.01,0.0009999999999999575,0.00014791953692592488,False,2.111111111111111,0.0
dirl_sensitivity_alpha_0p10_seed2104,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112033020416,2750,2.1111111111111107,2.207739598212867e-13,20,20,0.2814042998265344,0.0,-2.159940275248129e-09,-1.0799701376240641e-08,False,0.09821464499987087,0.03499739599874374,0.06321724900112713,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2104,alpha_0p10,0.1,1.0,0.9,0.01,0.0009999999999999027,0.00027428191682922774,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_alpha_0p10_seed2104,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112033020416,277,2.111111111111111,2.9319526024601623e-13,20,20,0.2814042998265344,0.0,-2.2418291528714107e-09,-1.1209145764356484e-08,False,0.004122690000031071,0.0036901299999954063,0.0004325600000356644,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2104,alpha_0p10,0.1,1.0,0.9,0.01,0.0009999999999999027,0.0002794328441026865,False,2.111111111111111,0.0
dirl_sensitivity_alpha_0p10_seed2105,exact_quartic_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112076867196,2750,2.1111111111111107,6.416735081167724e-14,20,20,0.2814042998265344,0.0,-9.469291253894063e-10,-4.73464562694703e-09,False,0.10499260399978994,0.035309655002492946,0.06968294899729699,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2105,alpha_0p10,0.1,1.0,0.9,0.01,0.0009999999999999567,0.00018160803382210935,False,2.111111111111111,-4.440892098500626e-16
dirl_sensitivity_alpha_0p10_seed2105,exact_quartic_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112076867196,272,2.1111111111111116,2.7201784234975397e-13,20,20,0.2814042998265344,0.0,-9.82763620482885e-10,-4.913818102414002e-09,False,0.004062650000150825,0.00363572999981443,0.0004269200003363949,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,dirl_sensitivity,quartic,0.001,2105,alpha_0p10,0.1,1.0,0.9,0.01,0.0009999999999999567,0.00018501274384029537,False,2.111111111111111,4.440892098500626e-16
