run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,geometry,distance_to_saddle,F_saddle,objective_change_from_saddle
exact_strict_n20_p0.3,exact_strict_n20_p0.3,FB,converged,20,20,0.3,0.1,2.0299003322259135,1,2.0299003322259135,0.0,20,20,0.3092532037787764,0.0,-0.010500000000000023,-0.03750000000000009,False,0.00022232999981497414,9.655999997448816e-05,0.00012576999984048598,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,exact,strict,4.965068306494546e-16,2.0299003322259135,0.0
exact_strict_n20_p0.3,exact_strict_n20_p0.3,4V-FB,converged,20,20,0.3,0.1,2.0299003322259135,38,1.9635112010491282,4.790904047749073e-12,19,19,0.3092532037787764,0.0,0.14932432023868222,0.5333011437095794,True,0.0038059099999827595,0.003638570000020991,0.00016733999996176863,6,5,1,1,16,19.166666666666668,20.0,0.0003105499997673178,5.945000020801672e-05,0.00047470999993493024,0.12472969669200812,3.1561461794019934,3.6094160501614086e-19,7.519616771169602e-21,0.3092532037787764,22.470022176837,exact,strict,1.419113467331191,2.0299003322259135,-0.06638913117678524
exact_strict_n20_p0.5,exact_strict_n20_p0.5,FB,converged,20,20,0.5,0.1,2.111111111111111,1,2.111111111111111,0.0,20,20,0.2814042998265344,0.0,-0.012500000000000011,-0.06250000000000007,False,0.0002368499997373874,0.00010439999982736481,0.0001324499999100226,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,exact,strict,4.965068306494546e-16,2.111111111111111,0.0
exact_strict_n20_p0.5,exact_strict_n20_p0.5,4V-FB,converged,20,20,0.5,0.1,2.111111111111111,38,2.065011551463048,3.567356936167399e-12,19,19,0.2814042998265344,0.0,0.11003888387539197,0.55019441937696,True,0.0043865589998404175,0.004219708999926297,0.00016684999991412042,6,5,1,1,16,19.166666666666668,20.0,0.0002117600001838582,5.399999963628943e-05,0.0003637499999058491,0.08292376779135589,4.222222222222222,2.4971540725324565e-12,5.202404317775951e-14,0.2814042998265344,15.81098407358339,exact,strict,1.428069641118275,2.111111111111111,-0.04609955964806334
exact_strict_n20_p0.8,exact_strict_n20_p0.8,FB,converged,20,20,0.8,0.1,2.666666666666667,1,2.666666666666667,1.4279577729502957e-16,20,20,0.23097428992562205,0.0,-0.007999999999999997,-0.09999999999999995,False,0.00023499999997511622,0.00010386999997535895,0.00013112999999975727,0,0,0,0,0,,,0.0,0.0,0.0,0.0,9.895833333333337,,,,,exact,strict,4.965068306494546e-16,2.666666666666667,0.0
exact_strict_n20_p0.8,exact_strict_n20_p0.8,4V-FB,converged,20,20,0.8,0.1,2.666666666666667,40,2.6487152535322664,3.2675841011559385e-12,19,19,0.23097428992562205,0.0,0.04524758524969302,0.5655948156211626,True,0.004608318999999028,0.004446759000074962,0.00016155999992406578,6,5,1,1,16,19.166666666666668,20.0,0.00020211000014569436,5.68000002658664e-05,0.0003567500002645829,0.07741434572230312,9.895833333333337,4.07628920933142e-09,8.492269186107126e-11,0.23097428992562205,13.042690417786277,exact,strict,1.451586055032074,2.666666666666667,-0.017951413134400518
exact_strict_n50_p0.3,exact_strict_n50_p0.3,FB,converged,50,50,0.3,0.1,5.074750830564784,1,5.074750830564784,0.0,50,50,0.3092532037787764,0.0,-0.010500000000000023,-0.03750000000000009,False,0.000251500000103988,8.834999994178361e-05,0.00016315000016220438,0,0,0,0,0,,,0.0,0.0,0.0,0.0,3.1561461794019934,,,,,exact,strict,7.850462293418876e-16,5.074750830564784,0.0
exact_strict_n50_p0.3,exact_strict_n50_p0.3,4V-FB,converged,50,50,0.3,0.1,5.074750830564784,38,5.008361699388,4.790904047749073e-12,49,49,0.3092532037787764,0.0,0.14932432023868222,0.5333011437095794,True,0.003910549000011088,0.003736938999963968,0.00017361000004711968,6,5,1,1,16,49.166666666666664,50.0,0.0004384399999253219,6.271000006563554e-05,0.0006152099997507321,0.15732062166948624,3.1561461794019934,1.7848908680136098e-24,3.71852264169502e-26,0.3092532037787764,28.17378746312857,exact,strict,1.419113467331191,5.074750830564784,-0.06638913117678413
exact_strict_n50_p0.5,exact_strict_n50_p0.5,FB,converged,50,50,0.5,0.1,5.277777777777778,1,5.277777777777778,0.0,50,50,0.2814042998265344,0.0,-0.012500000000000011,-0.06250000000000007,False,0.00026669999988371274,0.00010438000003887282,0.0001623199998448399,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,exact,strict,7.850462293418876e-16,5.277777777777778,0.0
exact_strict_n50_p0.5,exact_strict_n50_p0.5,4V-FB,converged,50,50,0.5,0.1,5.277777777777778,38,5.231678218129714,3.567356936167399e-12,49,49,0.2814042998265344,0.0,0.11003888387539197,0.55019441937696,True,0.0045719990000634425,0.004380109000067023,0.00019188999999641965,6,5,1,1,16,49.166666666666664,50.0,0.0003870700002153171,5.736999992222991e-05,0.0005460699999275676,0.11943790887093153,4.222222222222222,1.6426176302987705e-15,3.422120063122439e-17,0.2814042998265344,19.390832941255965,exact,strict,1.428069641118275,5.277777777777778,-0.04609955964806378
