iteration,objective,objective_change_double,objective_change_high_precision,distance_to_saddle,step_norm,fb_residual,support_size,relative_lambda_min,elapsed_seconds,first_machine_fixed_iteration,total_runtime_seconds
55,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.02808609599992451,10,94.08344318799982
59,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.029138365999870075,10,94.08344318799982
64,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.030282305999890013,10,94.08344318799982
69,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.0314243059999626,10,94.08344318799982
75,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.03266409599996223,10,94.08344318799982
81,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.03391795499987893,10,94.08344318799982
87,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.03516000499985239,10,94.08344318799982
94,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.03649578499994277,10,94.08344318799982
102,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.037930874999801745,10,94.08344318799982
110,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.03936163499997747,10,94.08344318799982
119,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.040898144999800934,10,94.08344318799982
129,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.042516643999988446,10,94.08344318799982
139,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.04414110399989113,10,94.08344318799982
150,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.04586214400001154,10,94.08344318799982
163,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.04776117299979887,10,94.08344318799982
176,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.049668652999798724,10,94.08344318799982
190,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.05166962299995248,10,94.08344318799982
205,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.0537667829999009,10,94.08344318799982
222,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.05605997199995727,10,94.08344318799982
239,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.058342201999948884,10,94.08344318799982
259,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.060910321999926964,10,94.08344318799982
279,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.06348065099996347,10,94.08344318799982
302,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.0663484909998715,10,94.08344318799982
326,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.06931128999985958,10,94.08344318799982
352,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.07245189999980539,10,94.08344318799982
381,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.07612044899997272,10,94.08344318799982
411,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.07966163899982348,10,94.08344318799982
444,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.08347352800001318,10,94.08344318799982
480,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.08756486799984486,10,94.08344318799982
518,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.09184665699990546,10,94.08344318799982
560,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.09648624599981304,10,94.08344318799982
605,2.111111111111111,0.0,-5.085880738919365e-24,3.836607879617091e-06,0.0,0.0,20,-2.113066666087349e-12,0.10142335599994112,10,94.08344318799982
