run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,geometry,perturbation,seed,initial_distance_to_saddle,distance_to_saddle,escaped_radius_0p1,F_saddle,objective_change_from_saddle
perturbed_strict_n20_p0.5_eps1e-03_seed3101,exact_strict_n20_p0.5,FB,converged,20,20,0.5,0.1,2.1111112110205226,207,2.065011551463048,3.5172917210358815e-12,19,19,0.2814042998265344,0.0,0.11003888387539482,0.5501944193769742,True,0.019514747000130228,0.019346957000152543,0.0001677899999776855,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,perturbed_saddle,strict,0.001,3101,0.000999999999999974,1.4280696411185878,True,2.111111111111111,-0.04609955964806334
perturbed_strict_n20_p0.5_eps1e-03_seed3101,exact_strict_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111112110205226,1368,2.065011551463047,2.4901008837531957e-15,19,20,0.2814042998265344,3.7868516723754573e-45,0.11003888387559405,0.5501944193779701,True,0.03644946400004301,0.017522579000342375,0.018926884999700633,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,perturbed_saddle,strict,0.001,3101,0.000999999999999974,1.4280696411405713,True,2.111111111111111,-0.046099559648064226
perturbed_strict_n20_p0.5_eps1e-03_seed3101,exact_strict_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.1111112110205226,1400,2.0650115514630745,1.1237332632945423e-12,19,20,0.2814042998265344,7.046613716782137e-26,0.11003888387553037,0.5501944193776518,True,0.02054095700009384,0.019039566999708768,0.0015013900003850722,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,perturbed_saddle,strict,0.001,3101,0.000999999999999974,1.4280696411335458,True,2.111111111111111,-0.04609955964803669
perturbed_strict_n20_p0.5_eps1e-03_seed3101,exact_strict_n20_p0.5,4V-FB,converged,20,20,0.5,0.1,2.1111112110205226,207,2.065011551463048,3.5172917210358815e-12,19,19,0.2814042998265344,0.0,0.11003888387539482,0.5501944193769742,True,0.02100228699987383,0.020830446999980268,0.0001718399998935638,5,4,1,0,15,19.0,19.0,0.00021728999990955344,4.5509999836212955e-05,0.0003470999999990454,0.0165267715845008,4.222222222222222,2.4971532463223202e-12,5.202402596504834e-14,0.2814042998265344,15.810984237827597,perturbed_saddle,strict,0.001,3101,0.000999999999999974,1.4280696411185878,True,2.111111111111111,-0.04609955964806334
perturbed_strict_n20_p0.5_eps1e-03_seed3102,exact_strict_n20_p0.5,FB,converged,20,20,0.5,0.1,2.111111208877594,179,2.065011551463048,3.5544199162909773e-12,19,19,0.2814042998265344,0.0,0.1100388838753927,0.5501944193769637,True,0.016761337000161802,0.016615187000070364,0.00014615000009143841,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,perturbed_saddle,strict,0.001,3102,0.0010000000000000295,1.4280696411183558,True,2.111111111111111,-0.04609955964806334
perturbed_strict_n20_p0.5_eps1e-03_seed3102,exact_strict_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.111111208877594,1368,2.065011551463047,2.4901008837531957e-15,19,20,0.2814042998265344,3.9484768509857897e-59,0.11003888387559405,0.5501944193779701,True,0.04992256300010922,0.018312537998554035,0.031610025001555186,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,perturbed_saddle,strict,0.001,3102,0.0010000000000000295,1.4280696411405713,True,2.111111111111111,-0.046099559648064226
perturbed_strict_n20_p0.5_eps1e-03_seed3102,exact_strict_n20_p0.5,DIRL2,converged,20,20,0.5,0.1,2.111111208877594,1248,2.0650115514630496,1.1307275177174808e-13,19,20,0.2814042998265344,3.242508487913709e-28,0.11003888387558762,0.5501944193779381,True,0.018545196999866675,0.017145209000318573,0.0013999879995481024,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,perturbed_saddle,strict,0.001,3102,0.0010000000000000295,1.428069641139862,True,2.111111111111111,-0.04609955964806156
perturbed_strict_n20_p0.5_eps1e-03_seed3102,exact_strict_n20_p0.5,4V-FB,converged,20,20,0.5,0.1,2.111111208877594,179,2.065011551463048,3.5544199162909773e-12,19,19,0.2814042998265344,0.0,0.1100388838753927,0.5501944193769637,True,0.017856687999938003,0.0176874180001505,0.00016926999978750246,5,4,1,0,15,19.0,19.0,0.00017456999989917676,4.553999974632461e-05,0.0003105999996932951,0.01739404304394933,4.222222222222222,2.4971532640434612e-12,5.202402633423878e-14,0.2814042998265344,15.81098423430477,perturbed_saddle,strict,0.001,3102,0.0010000000000000295,1.4280696411183558,True,2.111111111111111,-0.04609955964806334
perturbed_strict_n20_p0.5_eps1e-03_seed3103,exact_strict_n20_p0.5,FB,converged,20,20,0.5,0.1,2.1111111945814014,162,2.065011551463048,3.4681731171148337e-12,19,19,0.2814042998265344,0.0,0.11003888387539759,0.5501944193769881,True,0.015084538000110115,0.01494486800015693,0.00013966999995318474,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,perturbed_saddle,strict,0.001,3103,0.0010000000000000434,1.4280696411188953,True,2.111111111111111,-0.04609955964806334
perturbed_strict_n20_p0.5_eps1e-03_seed3103,exact_strict_n20_p0.5,DIRL1,converged,20,20,0.5,0.1,2.1111111945814014,1368,2.065011551463047,2.4901008837531957e-15,19,20,0.2814042998265344,6.675515160353008e-68,0.11003888387559405,0.5501944193779701,True,0.049899792999895,0.017869646000008288,0.03203014699988671,0,0,0,0,0,,,0.0,0.0,0.0,0.0,4.222222222222222,,,,,perturbed_saddle,strict,0.001,3103,0.0010000000000000434,1.4280696411405713,True,2.111111111111111,-0.046099559648064226
