run_key,method,iter,eligible_q,scheduled,forced_final,support_size,lambda_min,eta,chosen_sign,actual_drop,required_drop,roundoff_guard,guard_dominates_theory,accepted,eig_time,probe_time,verification_time,regime,n,p,seed
ordinary_n50_p0.3_seed1101,4V-FB,1339,1,True,False,26,0.05607664917715323,0.08973928820402641,1,-0.00022340438951884423,1.0190560951052899e-41,2.0757952064859007e-13,True,False,0.010684128999969289,1.7589999970368808e-05,0.010736269000062748,ordinary,50,0.3,1101
ordinary_n50_p0.3_seed1101,4V-FB,1340,2,True,False,26,0.05607664876100611,0.08973928820402641,1,-0.00022340450396995948,1.0190560951052899e-41,2.075795206485898e-13,True,False,7.439000000886153e-05,1.1040000003958994e-05,0.0001067799998963892,ordinary,50,0.3,1101
ordinary_n50_p0.3_seed1101,4V-FB,1342,4,True,False,26,0.0560766479451395,0.08973928820402641,1,-0.00022340472830872926,1.0190560951052899e-41,2.0757952064858942e-13,True,False,5.528999997750361e-05,1.0379999935139494e-05,8.319999994910177e-05,ordinary,50,0.3,1101
ordinary_n50_p0.3_seed1101,4V-FB,1346,8,True,False,26,0.05607664637711875,0.08973928820402641,1,-0.00022340515930130422,1.0190560951052899e-41,2.0757952064858856e-13,True,False,4.5940000063637854e-05,1.00999999403939e-05,7.252000000335102e-05,ordinary,50,0.3,1101
ordinary_n50_p0.3_seed1101,4V-FB,1354,16,True,False,26,0.05607664348074176,0.08973928820402641,1,-0.00022340595481340486,1.0190560951052899e-41,2.0757952064858722e-13,True,False,4.5860000000175205e-05,9.999999974752427e-06,7.238000000597822e-05,ordinary,50,0.3,1101
ordinary_n50_p0.3_seed1101,4V-FB,1370,32,True,False,26,0.0560766385364041,0.08973928820402641,1,-0.00022340731089398602,1.0190560951052899e-41,2.0757952064858528e-13,True,False,4.4080000066060165e-05,1.0060000022349413e-05,7.003000007443916e-05,ordinary,50,0.3,1101
ordinary_n50_p0.3_seed1101,4V-FB,1402,64,True,False,26,0.05607663131369389,0.08973928820402641,1,-0.00022340928687825112,1.0190560951052899e-41,2.0757952064858316e-13,True,False,4.396000008455303e-05,1.0000000088439265e-05,7.003999996868515e-05,ordinary,50,0.3,1101
ordinary_n50_p0.3_seed1101,4V-FB,1466,128,True,False,26,0.05607662352674979,0.08973928820402641,1,-0.00022341140867121467,1.0190560951052899e-41,2.0757952064858187e-13,True,False,4.4559999992088706e-05,9.999999974752427e-06,7.028999993963225e-05,ordinary,50,0.3,1101
ordinary_n50_p0.3_seed1101,4V-FB,1594,256,True,False,26,0.05607661881124908,0.08973928820402641,1,-0.00022341268675996062,1.0190560951052899e-41,2.0757952064858164e-13,True,False,4.425999998147745e-05,1.0149999980058055e-05,7.018999997399078e-05,ordinary,50,0.3,1101
ordinary_n50_p0.3_seed1101,4V-FB,1850,512,True,False,26,0.05607661781004207,0.08973928820402641,1,-0.0002234129567217913,1.0190560951052899e-41,2.075795206485816e-13,True,False,0.00019190000000435248,1.2969999943379662e-05,0.00023993999991489545,ordinary,50,0.3,1101
