run_key,method,iter,eligible_q,scheduled,forced_final,support_size,lambda_min,eta,chosen_sign,actual_drop,required_drop,roundoff_guard,guard_dominates_theory,accepted,eig_time,probe_time,verification_time,regime,geometry,n,p
exact_strict_n20_p0.3,4V-FB,1,1,True,False,20,-0.010499999999999997,0.6185064075575528,1,0.0023398141732071664,1.100455589032931e-21,2.0299003322259134e-13,True,True,0.00015107999979591114,1.1220000033063116e-05,0.0001861600001120678,exact,strict,20,0.3
exact_strict_n20_p0.3,4V-FB,24,1,True,False,19,0.14932431857383144,0.6185064075575528,-1,-0.028289278861031608,1.100455589032931e-21,1.9635112010491357e-13,True,False,4.515000000537839e-05,1.0320000001229346e-05,7.445999995070451e-05,exact,strict,20,0.3
exact_strict_n20_p0.3,4V-FB,25,2,True,False,19,0.14932431937478224,0.6185064075575528,-1,-0.02828926548310373,1.100455589032931e-21,1.9635112010491304e-13,True,False,3.224000010959571e-05,9.370000043418258e-06,5.7460000107312226e-05,exact,strict,20,0.3
exact_strict_n20_p0.3,4V-FB,27,4,True,False,19,0.1493243200061468,0.6185064075575528,-1,-0.028289254937698072,1.100455589032931e-21,1.9635112010491286e-13,True,False,2.8890000066894572e-05,9.32000011744094e-06,5.3600000001097214e-05,exact,strict,20,0.3
exact_strict_n20_p0.3,4V-FB,31,8,True,False,19,0.1493243202219751,0.6185064075575528,-1,-0.028289251332811682,1.100455589032931e-21,1.9635112010491286e-13,True,False,2.5899999855028e-05,9.600000112186535e-06,5.0799999826267594e-05,exact,strict,20,0.3
exact_strict_n20_p0.3,4V-FB,38,15,False,True,19,0.14932432023868222,0.6185064075575528,-1,-0.028289251053760234,1.100455589032931e-21,1.9635112010491284e-13,True,False,2.728999993450998e-05,9.619999900678522e-06,5.22299999374809e-05,exact,strict,20,0.3
exact_strict_n20_p0.5,4V-FB,1,1,True,False,20,-0.012500000000000022,0.5628085996530688,1,0.0021938233597098566,5.219717520488294e-15,2.1111111111111113e-13,True,True,5.5459999884988065e-05,9.579999868947198e-06,8.474000014757621e-05,exact,strict,20,0.5
exact_strict_n20_p0.5,4V-FB,24,1,True,False,19,0.11003888183882488,0.5628085996530688,-1,-0.01719360763842781,5.219717520488294e-15,2.0650115514630535e-13,True,False,4.1129999999611755e-05,9.309999995821272e-06,6.792999988647352e-05,exact,strict,20,0.5
exact_strict_n20_p0.5,4V-FB,25,2,True,False,19,0.11003888282125969,0.5628085996530688,-1,-0.017193598438440816,5.219717520488294e-15,2.0650115514630497e-13,True,False,3.2350000083170016e-05,9.069999805433326e-06,5.7190000006812625e-05,exact,strict,20,0.5
exact_strict_n20_p0.5,4V-FB,27,4,True,False,19,0.11003888359307254,0.5628085996530688,-1,-0.017193591210816983,5.219717520488294e-15,2.065011551463048e-13,True,False,2.6550000029601506e-05,8.519999937561806e-06,5.0099999953090446e-05,exact,strict,20,0.5
exact_strict_n20_p0.5,4V-FB,31,8,True,False,19,0.11003888385530795,0.5628085996530688,-1,-0.017193588755119116,5.219717520488294e-15,2.065011551463048e-13,True,False,2.9510000103982748e-05,8.750000006330083e-06,5.3429999979925924e-05,exact,strict,20,0.5
exact_strict_n20_p0.5,4V-FB,38,15,False,True,19,0.11003888387539197,0.5628085996530688,-1,-0.01719358856704245,5.219717520488294e-15,2.065011551463048e-13,True,False,2.676000008250412e-05,8.770000022195745e-06,5.035999993197038e-05,exact,strict,20,0.5
exact_strict_n20_p0.8,4V-FB,1,1,True,False,20,-0.008000000000000002,0.4619485798512441,1,0.0008957015849713201,3.867214817909057e-12,2.6666666666666673e-13,False,True,5.349000002752291e-05,9.850000196820474e-06,8.304000016323698e-05,exact,strict,20,0.8
exact_strict_n20_p0.8,4V-FB,26,1,True,False,19,0.04524758274428381,0.4619485798512441,-1,-0.004753571847555538,3.867214817909057e-12,2.648715253532276e-13,False,False,3.693999997267383e-05,1.0129999964192393e-05,6.432000009226613e-05,exact,strict,20,0.8
exact_strict_n20_p0.8,4V-FB,27,2,True,False,19,0.045247583946569234,0.4619485798512441,-1,-0.0047535656370900625,3.867214817909057e-12,2.648715253532269e-13,False,False,2.8300000167291728e-05,9.139999974649982e-06,5.301999999574036e-05,exact,strict,20,0.8
exact_strict_n20_p0.8,4V-FB,29,4,True,False,19,0.045247584897285045,0.4619485798512441,-1,-0.004753560726117989,3.867214817909057e-12,2.648715253532267e-13,False,False,2.8890000066894572e-05,9.439999985261238e-06,5.374000011215685e-05,exact,strict,20,0.8
exact_strict_n20_p0.8,4V-FB,33,8,True,False,19,0.04524758522413817,0.4619485798512441,-1,-0.004753559037740551,3.867214817909057e-12,2.648715253532267e-13,False,False,2.6109999907930614e-05,8.940000043367036e-06,4.97399998948822e-05,exact,strict,20,0.8
exact_strict_n20_p0.8,4V-FB,40,15,False,True,19,0.04524758524969302,0.4619485798512441,-1,-0.004753558905735922,3.867214817909057e-12,2.6487152535322665e-13,False,False,2.83800000033807e-05,9.300000101575279e-06,5.28900000063004e-05,exact,strict,20,0.8
exact_strict_n50_p0.3,4V-FB,1,1,True,False,50,-0.010499999999999997,0.6185064075575528,1,0.0023398141732080546,5.4418584730113896e-27,5.074750830564784e-13,True,True,9.703000000627071e-05,1.1119999953734805e-05,0.0001290600000629638,exact,strict,50,0.3
exact_strict_n50_p0.3,4V-FB,24,1,True,False,49,0.14932431857383144,0.6185064075575528,-1,-0.028289278861031164,5.4418584730113896e-27,5.008361699388007e-13,True,False,7.456999992427882e-05,1.077000001714623e-05,0.00010408999992250756,exact,strict,50,0.3
exact_strict_n50_p0.3,4V-FB,25,2,True,False,49,0.14932431937478224,0.6185064075575528,-1,-0.028289265483103954,5.4418584730113896e-27,5.008361699388001e-13,True,False,6.177000000207045e-05,1.0090000159834744e-05,8.85199999629549e-05,exact,strict,50,0.3
exact_strict_n50_p0.3,4V-FB,27,4,True,False,49,0.1493243200061468,0.6185064075575528,-1,-0.028289254937698516,5.4418584730113896e-27,5.008361699387999e-13,True,False,9.180000006381306e-05,1.0370000154580339e-05,0.00012687000003097637,exact,strict,50,0.3
