run_key,problem,method,status,m,n,p,lambda,initial_objective,iterations,final_objective,final_residual,support_size,raw_nonzero_count,classification_support_threshold,thresholded_tail_norm,lambda_min,relative_lambda_min,numerical_locmin,runtime_total,runtime_algorithm,diagnostic_time,verification_calls,scheduled_verifications,forced_final_verifications,accepted_corrections,eligible_iterations,mean_verify_support,max_verify_support,eig_time,probe_time,verification_time,verification_time_fraction,gamma,kappa0,sigma,eta_lower_bound,log10_theoretical_correction_bound,regime,schedule,timing_repeats
schedule_ablation_powers_of_two,random_gaussian_n100_m80_p0.5_seed1101,4V-FB,converged,80,100,0.5,0.05,46.61347118308591,2466,5.27708456209272,9.855104430123325e-12,51,51,0.024720714094352007,0.0,0.044505063079326175,0.015805518878049592,True,0.20011406100002205,0.19988484100008463,0.00023901000008663686,11,10,1,0,925,51.0,51.0,0.000987820000091233,0.00011758000027839444,0.001294988999461566,0.0068698808383911856,0.219870268576497,7.658630381744491e-25,1.595547996196769e-26,0.024720714094352007,33.893357524686905,schedule_ablation,powers_of_two,3
schedule_ablation_every_eligible,random_gaussian_n100_m80_p0.5_seed1101,4V-FB,converged,80,100,0.5,0.05,46.61347118308591,2466,5.27708456209272,9.855104430123325e-12,51,51,0.024720714094352007,0.0,0.044505063079326175,0.015805518878049592,True,0.29991204599969024,0.2996769759997733,0.00023849999979574932,925,925,0,0,925,51.0,51.0,0.07170277899808752,0.009315790000982815,0.09513250700047138,0.31770055927406676,0.219870268576497,7.658630381744491e-25,1.595547996196769e-26,0.024720714094352007,33.893357524686905,schedule_ablation,every_eligible,3
