run_key,method,iter,eligible_q,scheduled,forced_final,support_size,lambda_min,eta,chosen_sign,actual_drop,required_drop,roundoff_guard,guard_dominates_theory,accepted,eig_time,probe_time,verification_time,regime,schedule,n,p,seed
schedule_ablation_powers_of_two,4V-FB,1542,1,True,False,51,0.04450507276618727,0.04944142818870401,1,-5.4281130242195275e-05,9.533972675049429e-32,5.277084562092827e-13,True,False,0.00015796000002410437,1.3100000160193304e-05,0.00019684000017150538,schedule_ablation,powers_of_two,100,0.5,1101
schedule_ablation_powers_of_two,4V-FB,1543,2,True,False,51,0.04450507267292027,0.04944142818870401,1,-5.428117337569205e-05,9.533972675049429e-32,5.277084562092823e-13,True,False,0.00010393000002295594,1.1059999906137818e-05,0.00013380999985201925,schedule_ablation,powers_of_two,100,0.5,1101
schedule_ablation_powers_of_two,4V-FB,1545,4,True,False,51,0.04450507248905851,0.04944142818870401,1,-5.428125837170228e-05,9.533972675049429e-32,5.277084562092819e-13,True,False,9.020000015880214e-05,1.1599999879763345e-05,0.00011870000003000314,schedule_ablation,powers_of_two,100,0.5,1101
schedule_ablation_powers_of_two,4V-FB,1549,8,True,False,51,0.04450507213179272,0.04944142818870401,1,-5.428142341568076e-05,9.533972675049429e-32,5.277084562092811e-13,True,False,9.285999999519845e-05,1.1070000027757487e-05,0.00012132999995628779,schedule_ablation,powers_of_two,100,0.5,1101
schedule_ablation_powers_of_two,4V-FB,1557,16,True,False,51,0.04450507145726823,0.04944142818870401,1,-5.428173459698371e-05,9.533972675049429e-32,5.277084562092797e-13,True,False,8.361000004697416e-05,1.0629999906086596e-05,0.00011085999994975282,schedule_ablation,powers_of_two,100,0.5,1101
schedule_ablation_powers_of_two,4V-FB,1573,32,True,False,51,0.044505070254681964,0.04944142818870401,1,-5.428228791259926e-05,9.533972675049429e-32,5.277084562092776e-13,True,False,8.408000007875671e-05,1.0869999869100866e-05,0.0001119799999287352,schedule_ablation,powers_of_two,100,0.5,1101
schedule_ablation_powers_of_two,4V-FB,1605,64,True,False,51,0.04450506834096381,0.04944142818870401,1,-5.428316397892985e-05,9.533972675049429e-32,5.277084562092749e-13,True,False,8.511999999427644e-05,1.0559999964243616e-05,0.00011245999985476374,schedule_ablation,powers_of_two,100,0.5,1101
schedule_ablation_powers_of_two,4V-FB,1669,128,True,False,51,0.04450506590530602,0.04944142818870401,1,-5.428426886400217e-05,9.533972675049429e-32,5.277084562092729e-13,True,False,8.483999999953085e-05,1.0559999964243616e-05,0.00011218000008739182,schedule_ablation,powers_of_two,100,0.5,1101
schedule_ablation_powers_of_two,4V-FB,1797,256,True,False,51,0.04450506389098752,0.04944142818870401,1,-5.428516909233849e-05,9.533972675049429e-32,5.277084562092722e-13,True,False,8.524000008947041e-05,1.049999991664663e-05,0.000112749999971129,schedule_ablation,powers_of_two,100,0.5,1101
schedule_ablation_powers_of_two,4V-FB,2053,512,True,False,51,0.04450506314463899,0.04944142818870401,1,-5.4285495788342075e-05,9.533972675049429e-32,5.277084562092721e-13,True,False,8.843999989949225e-05,1.6329999880326795e-05,0.00012230999982421054,schedule_ablation,powers_of_two,100,0.5,1101
schedule_ablation_powers_of_two,4V-FB,2466,925,False,True,51,0.04450506307932585,0.04944142818870401,1,-5.428552371977702e-05,9.533972675049429e-32,5.277084562092721e-13,True,False,9.359999990010692e-05,1.077000001714623e-05,0.00012240000000929285,schedule_ablation,powers_of_two,100,0.5,1101
schedule_ablation_every_eligible,4V-FB,1542,1,True,False,51,0.04450507276618727,0.04944142818870401,1,-5.4281130242195275e-05,9.533972675049429e-32,5.277084562092827e-13,True,False,0.0001247000000148546,1.2129999959142879e-05,0.00015998000003492052,schedule_ablation,every_eligible,100,0.5,1101
