iter,objective,residual,actual_step,support,verified,corrected,eligible_q,scheduled,forced_final,eta,lambda_min,actual_drop,required_drop,roundoff_guard
0,2.111111111111111,,,20,False,False,0,,,,,,,
1,2.110896997250423,1.1759372304855504e-16,0.5628085996530686,20,True,True,0,True,False,0.5628085996530688,-1.1657341758563752e-17,0.00021411386068814764,5.219717520488294e-15,2.1111111111111113e-13
2,2.1108154097421505,0.006326477011662534,0.02671179182701959,20,False,False,0,False,False,,,,,
3,2.1107893550028325,0.002730683202792291,0.011529551300678563,20,False,False,0,False,False,,,,,
4,2.0918510335458596,0.13441911685493096,0.5675473822763752,19,False,False,0,False,False,,,,,
5,2.080706220847418,0.06100358363060021,0.257570686440312,19,False,False,0,False,False,,,,,
6,2.077956393419373,0.0302191000423785,0.127591755734487,19,False,False,0,False,False,,,,,
7,2.0772852784109364,0.014912369568723046,0.06296333817905286,19,False,False,0,False,False,,,,,
8,2.0771222410973773,0.007346418709928324,0.03101821233080848,19,False,False,0,False,False,,,,,
9,2.077082717238117,0.003616263429402379,0.015268667813032266,19,False,False,0,False,False,,,,,
10,2.077073145404781,0.001779421837239214,0.007513114423898903,19,False,False,0,False,False,,,,,
11,2.077070828438904,0.0008754216738873865,0.0036962248453022983,19,False,False,0,False,False,,,,,
12,2.0770702677253614,0.00043064192968275537,0.0018182659253271893,19,False,False,0,False,False,,,,,
13,2.077070132046579,0.00021183417424360047,0.0008944109579174242,19,False,False,0,False,False,,,,,
14,2.0770700992175515,0.0001041996480021176,0.0004399540693422743,19,False,False,0,False,False,,,,,
15,2.0770700912744164,5.1254478363200506e-05,0.00021640779753351325,19,False,False,0,False,False,,,,,
16,2.077070089352565,2.52112913729303e-05,0.0001064476746857057,19,False,False,0,False,False,,,,,
17,2.0770700888875737,1.2401015152237255e-05,5.2359841753890635e-05,19,False,False,0,False,False,,,,,
18,2.0770700887750695,6.099845430131511e-06,2.5754902927221934e-05,19,False,False,0,False,False,,,,,
19,2.0770700887478495,3.0004068578092175e-06,1.266838451075003e-05,19,False,False,0,False,False,,,,,
20,2.0770700887412636,1.4758469923527671e-06,6.231353967711684e-06,19,False,False,0,False,False,,,,,
21,2.07707008873967,7.259428860671347e-07,3.065092185616791e-06,19,False,False,0,False,False,,,,,
22,2.077070088739285,3.570783673482356e-07,1.5076642176925503e-06,19,False,False,0,False,False,,,,,
23,2.077070088739191,1.7564047821424334e-07,7.415931302379164e-07,19,False,False,0,False,False,,,,,
24,2.0770700887391684,8.639441620001146e-08,3.6477642395560395e-07,19,True,False,1,True,False,0.5628085996530688,0.1155337120382606,-0.018025610306445117,5.219717520488294e-15,2.0770700887391686e-13
25,2.077070088739163,4.249587076968939e-08,1.7942700991646632e-07,19,True,False,2,True,False,0.5628085996530688,0.11553371337173662,-0.018025598920753616,5.219717520488294e-15,2.077070088739163e-13
26,2.0770700887391618,2.0902959994485494e-08,8.825694219893876e-08,19,False,False,3,False,False,,,,,
27,2.0770700887391613,1.028179273300292e-08,4.341201376156789e-08,19,True,False,4,True,False,0.5628085996530688,0.11553371435028137,-0.0180255905655895,5.219717520488294e-15,2.0770700887391613e-13
28,2.0770700887391618,5.057430211461316e-09,2.1353594226170003e-08,19,False,False,5,False,False,,,,,
29,2.0770700887391613,2.487659657216125e-09,1.050345188602364e-08,19,False,False,6,False,False,,,,,
30,2.0770700887391613,1.2236354561180387e-09,5.166460814720608e-09,19,False,False,7,False,False,,,,,
31,2.0770700887391613,6.018843844376862e-10,2.541289623181342e-09,19,True,False,8,True,False,0.5628085996530688,0.11553371464432122,-0.018025588054971564,5.219717520488294e-15,2.0770700887391613e-13
32,2.0770700887391618,2.9605617957173536e-10,1.2500149804139937e-09,19,False,False,9,False,False,,,,,
33,2.0770700887391613,1.456247228067522e-10,6.148599407396205e-10,19,False,False,10,False,False,,,,,
34,2.0770700887391613,7.163017547527847e-11,3.02438518673398e-10,19,False,False,11,False,False,,,,,
35,2.0770700887391618,3.523360550685227e-11,1.4876411214004293e-10,19,False,False,12,False,False,,,,,
36,2.0770700887391613,1.7330768399329157e-11,7.317435546383422e-11,19,False,False,13,False,False,,,,,
37,2.0770700887391613,8.524707255886418e-12,3.599320841374265e-11,19,True,False,14,False,True,0.5628085996530688,0.11553371466234529,-0.018025587901075557,5.219717520488294e-15,2.0770700887391613e-13
